"For once maybe someone will call me ""sir"" without adding, ""You're making a scene.""",Homer Simpson
"For once maybe someone will call me ""sir"" without adding, ""You're making a scene.""",Homer Simpson
Marriage is like a coffin and each kid is another nail.,Homer Simpson
"Oh, wow, windows. I don't think I could afford this place.",Otto
"Hi, Super Nintendo Chalmers!",Ralph Wiggum
Marriage is like a coffin and each kid is another nail.,Homer Simpson
Doughnuts? I told you I don't like ethnic food,Mr. Burns
"Last night's 'Itchy and Scratchy' was, without a doubt, the worst episode ever. Rest assured that I was on the Internet within minutes, registering my disgust throughout the world.",Comic Book Guy
Marriage is like a coffin and each kid is another nail.,Homer Simpson
"And this is the snack holder where I can put my beverage or, if you will, cupcake.",Homer Simpson
Inflammable means flammable? What a country!,Dr. Nick
Ahh! Sweet liquor eases the pain.,Troy McClure
"Oh, so they have Internet on computers now!",Homer Simpson
Inflammable means flammable? What a country!,Dr. Nick
Ahh! Sweet liquor eases the pain.,Troy McClure
"And this is the snack holder where I can put my beverage or, if you will, cupcake.",Homer Simpson
"Well, I'm better than dirt. Well, most kinds of dirt. I mean not that fancy store bought dirt. That stuffs loaded with nutrients. I.. I can't compete with that stuff.",Moe Szyslak
By chilling my loins I increase the chances of impregnating my wife.,Apu Nahasapeemapetilon
Facts are meaningless. You could use facts to prove anything that's even remotely true.,Homer Simpson
Inflammable means flammable? What a country!,Dr. Nick
"Back in Edinburg, we had a coal miners strike. All we wanted were hats with a wee light on top. Then one day the mine collapsed. No one made it out alive, not even Willie!",Groundskeeper Willie
"Back in Edinburg, we had a coal miners strike. All we wanted were hats with a wee light on top. Then one day the mine collapsed. No one made it out alive, not even Willie!",Groundskeeper Willie
Thank you. Come again.,Apu Nahasapeemapetilon
"And this is the snack holder where I can put my beverage or, if you will, cupcake.",Homer Simpson
Why are you pleople avoiding me? Does my withered face remind you of the grim specter of death?,Abe Simpson
"Shoplifting is a victimless crime, like punching someone in the dark.",Nelson Muntz
You're turning me into a criminal when all I want to be is a petty thug.,Bart Simpson
"Oh, wow, windows. I don't think I could afford this place.",Otto
I believe the children are the future... Unless we stop them now!,Homer Simpson
"For once maybe someone will call me ""sir"" without adding, ""You're making a scene.""",Homer Simpson
"In theory, Communism works! In theory.",Homer Simpson
"Hi, Super Nintendo Chalmers!",Ralph Wiggum
Why are you pleople avoiding me? Does my withered face remind you of the grim specter of death?,Abe Simpson
My eyes! The goggles do nothing!,Rainier Wolfcastle
"Gah, stupid sexy Flanders!",Homer Simpson
But my mom says I'm cool.,Milhouse Van Houten
But my mom says I'm cool.,Milhouse Van Houten
I hope I didn't brain my damage.,Homer Simpson
I believe the children are the future... Unless we stop them now!,Homer Simpson
"I used to be with it. But then they changed what it was. Now what I'm with isn't it, and what's it seems scary and wierd. It'll happen to you.",Abe Simpson
Me fail English? That's unpossible.,Ralph Wiggum
Ahh! Sweet liquor eases the pain.,Troy McClure
"When I catch you, I'm gonna pull out your eyes and stick 'em down your pants so you can watch me kick the crap outta you, okay? Next I'm gonna use your tongue to paint my boat!",Moe Szyslak
By chilling my loins I increase the chances of impregnating my wife.,Apu Nahasapeemapetilon
Why are you pleople avoiding me? Does my withered face remind you of the grim specter of death?,Abe Simpson
Inflammable means flammable? What a country!,Dr. Nick
I can't even say the word 'titmouse' without gigggling like a schoolgirl.,Homer Simpson
"Oh, wow, windows. I don't think I could afford this place.",Otto
"I don't want to sound like a killjoy, but becuase this is not to my taste I don't think anyone else should be allowed to enjoy it.",Marge Simpson
Marriage is like a coffin and each kid is another nail.,Homer Simpson
Me fail English? That's unpossible.,Ralph Wiggum
These are my only friends...grown-up nerds like Gore Vidal. And even he's kissed more boys than I ever will.,Lisa Simpson
You're turning me into a criminal when all I want to be is a petty thug.,Bart Simpson
I'm sleeping in the bath tub.,Marge Simpson
Inflammable means flammable? What a country!,Dr. Nick
"All I'm gonna use this bed for is sleeping, eating and maybe building a little fort.",Homer Simpson
"Hi, Super Nintendo Chalmers!",Ralph Wiggum
But my mom says I'm cool.,Milhouse Van Houten
Eat my shorts,Bart Simpson
Inflammable means flammable? What a country!,Dr. Nick
Oh Yeah!,Duffman
Nothing you say can upset us. We're the MTV generation.,Bart Simpson
I'm sleeping in the bath tub.,Marge Simpson
"All I'm gonna use this bed for is sleeping, eating and maybe building a little fort.",Homer Simpson
I think women and seamen don't mix,Waylon Smithers
You're turning me into a criminal when all I want to be is a petty thug.,Bart Simpson
I can't even say the word 'titmouse' without gigggling like a schoolgirl.,Homer Simpson
"And this is the snack holder where I can put my beverage or, if you will, cupcake.",Homer Simpson
I believe the children are the future... Unless we stop them now!,Homer Simpson
"Hey, I'm the chief here. Bake him away, toys.",Chief Wiggum
Can't we have one meeting that doesn't end with us digging up a corpse?,Mayor Quimby
"Ah, be creative. Instead of making sandwhiches with bread, use Pop-Tarts. Instead of chewing gum, chew bacon.",Dr. Nick
"Remember the time he ate my goldfish? And you lied and said I never had a goldfish. Then why did I have the bowl, Bart? Why did I have the bowl?",Milhouse Van Houten
I can't even say the word 'titmouse' without gigggling like a schoolgirl.,Homer Simpson
They taste like...burning.,Ralph Wiggum
"When I catch you, I'm gonna pull out your eyes and stick 'em down your pants so you can watch me kick the crap outta you, okay? Next I'm gonna use your tongue to paint my boat!",Moe Szyslak
Facts are meaningless. You could use facts to prove anything that's even remotely true.,Homer Simpson
"Oh boy, sleep! That's where I'm a viking!",Ralph Wiggum
"Last night's ""Itchy & Scratchy"" was, without a doubt, the worst episode ever. Rest assured that I was on the Internet within minutes, registering my disgust throughout the world.",Comic Book Guy
Yeah. Call this an unfair generalization if you must.. but old people are no good at everything,Moe Szyslak
"Last night's 'Itchy and Scratchy' was, without a doubt, the worst episode ever. Rest assured that I was on the Internet within minutes, registering my disgust throughout the world.",Comic Book Guy
Ahh! Sweet liquor eases the pain.,Troy McClure
Can't we have one meeting that doesn't end with us digging up a corpse?,Mayor Quimby
You're turning me into a criminal when all I want to be is a petty thug.,Bart Simpson
But my mom says I'm cool.,Milhouse Van Houten
I live in a single room above a bowling alley...and below another bowling alley.,Frank Grimes
"Shoplifting is a victimless crime, like punching someone in the dark.",Nelson Muntz
"And this is the snack holder where I can put my beverage or, if you will, cupcake.",Homer Simpson
"When I catch you, I'm gonna pull out your eyes and stick 'em down your pants so you can watch me kick the crap outta you, okay? Next I'm gonna use your tongue to paint my boat!",Moe Szyslak
"Remember the time he ate my goldfish? And you lied and said I never had a goldfish. Then why did I have the bowl, Bart? Why did I have the bowl?",Milhouse Van Houten
"Oh boy, sleep! That's where I'm a viking!",Ralph Wiggum
"Back in Edinburg, we had a coal miners strike. All we wanted were hats with a wee light on top. Then one day the mine collapsed. No one made it out alive, not even Willie!",Groundskeeper Willie
My eyes! The goggles do nothing!,Rainier Wolfcastle
I can't even say the word 'titmouse' without gigggling like a schoolgirl.,Homer Simpson
Nothing you say can upset us. We're the MTV generation.,Bart Simpson
Why are you pleople avoiding me? Does my withered face remind you of the grim specter of death?,Abe Simpson
"Last night's ""Itchy & Scratchy"" was, without a doubt, the worst episode ever. Rest assured that I was on the Internet within minutes, registering my disgust throughout the world.",Comic Book Guy
"Hello, Simpson. I'm riding the bus today becuase Mother hid my car keys to punish me for talking to a woman on the phone. She was right to do it.",Principal Skinner
Thank you. Come again.,Apu Nahasapeemapetilon
That's where I saw the leprechaun...He told me to burn things.,Ralph Wiggum
"Hey, I'm the chief here. Bake him away, toys.",Chief Wiggum
Eat my shorts,Bart Simpson
Me fail English? That's unpossible.,Ralph Wiggum
Nothing you say can upset us. We're the MTV generation.,Bart Simpson
"I used to be with it. But then they changed what it was. Now what I'm with isn't it, and what's it seems scary and wierd. It'll happen to you.",Abe Simpson
Thank you. Come again.,Apu Nahasapeemapetilon
"Last night's 'Itchy and Scratchy' was, without a doubt, the worst episode ever. Rest assured that I was on the Internet within minutes, registering my disgust throughout the world.",Comic Book Guy
Oh Yeah!,Duffman
Why are you pleople avoiding me? Does my withered face remind you of the grim specter of death?,Abe Simpson
These are my only friends...grown-up nerds like Gore Vidal. And even he's kissed more boys than I ever will.,Lisa Simpson
"Remember the time he ate my goldfish? And you lied and said I never had a goldfish. Then why did I have the bowl, Bart? Why did I have the bowl?",Milhouse Van Houten
These are my only friends...grown-up nerds like Gore Vidal. And even he's kissed more boys than I ever will.,Lisa Simpson
But my mom says I'm cool.,Milhouse Van Houten
"Gah, stupid sexy Flanders!",Homer Simpson
"Back in Edinburg, we had a coal miners strike. All we wanted were hats with a wee light on top. Then one day the mine collapsed. No one made it out alive, not even Willie!",Groundskeeper Willie
Yeah. Call this an unfair generalization if you must.. but old people are no good at everything,Moe Szyslak
"I don't want to sound like a killjoy, but becuase this is not to my taste I don't think anyone else should be allowed to enjoy it.",Marge Simpson
But my mom says I'm cool.,Milhouse Van Houten
"Oh boy, sleep! That's where I'm a viking!",Ralph Wiggum
Ahh! Sweet liquor eases the pain.,Troy McClure
Why are you pleople avoiding me? Does my withered face remind you of the grim specter of death?,Abe Simpson
They taste like...burning.,Ralph Wiggum
I can't even say the word 'titmouse' without gigggling like a schoolgirl.,Homer Simpson
"Back in Edinburg, we had a coal miners strike. All we wanted were hats with a wee light on top. Then one day the mine collapsed. No one made it out alive, not even Willie!",Groundskeeper Willie
You're turning me into a criminal when all I want to be is a petty thug.,Bart Simpson
"Shoplifting is a victimless crime, like punching someone in the dark.",Nelson Muntz
Eat my shorts,Bart Simpson
"I don't want to sound like a killjoy, but becuase this is not to my taste I don't think anyone else should be allowed to enjoy it.",Marge Simpson
